Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du d�partement;Nom de la r�gion;Commentaires;Nom de la borne
Révéo;Boulevard Emile Jamais 30300 VALLABREGUES;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.851562,4.627732;Vallabrègues;GARD;OCCITANIE;;B6273
Révéo;Rd907 30940 SAINT ANDRE DE VALBORGNE;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.155232,3.685314;Saint-André-de-Valborgne;GARD;OCCITANIE;;B6274
Révéo;Parking Relais 30330 GAUJAC;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.077778,4.585064;Gaujac;LOT-ET-GARONNE;NOUVELLE-AQUITAINE;;B6275
Révéo;Parking Relais 30330 GAUJAC;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.077778,4.585064;Gaujac;GERS;OCCITANIE;;B6276
Révéo;Parking Tennis 30450 AUJAC;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.347197,4.012578;Aujac;GARD;OCCITANIE;;B6277
Révéo;Parking Tennis 30450 AUJAC;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.347197,4.012578;Aujac;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;;B6278
Révéo;Parking Ecole 30700 MONTAREN SAINT MEDIERS;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.028009,4.380829;Montaren-et-Saint-Médiers;GARD;OCCITANIE;;B6279
Révéo;Seaquarium 30240 LE GRAU DU ROI;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.526707,4.141123;Le Grau-du-Roi;GARD;OCCITANIE;;B6280
Révéo;Parking Ecole De Musique 30120 LE VIGAN;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.990373,3.60805;Le Vigan;GARD;OCCITANIE;;B6281
Révéo;Parking Vielle Route De Salindres 30340 SAINT PRIVAT DES VIEUX;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.158723,4.11697;Saint-Privat-des-Vieux;GARD;OCCITANIE;;B6282
Révéo;Gare Du Train À Vapeur 30270 SAINT JEAN DU GARD;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.101805,3.883929;Saint-Jean-du-Gard;GARD;OCCITANIE;;B6283
Révéo;Parking Parvis Mairie 30360 CRUVIERS-LASCOURS;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.003281,4.204502;Cruviers-Lascours;GARD;OCCITANIE;;B6284
SMOYS;AVENUE DE LA REPUBLIQUE;1;22.0;semi-rapide;payant;24/24 7/7 jours;48.710751,2.450222;Montgeron;ESSONNE;ILE-DE-FRANCE;;B6285
SMOYS;SITE DES AIGLONS;1;22.0;semi-rapide;payant;24/24 7/7 jours;48.659805,2.383694;Grigny;PAS-DE-CALAIS;HAUTS-DE-FRANCE;;B6286
ALTERBASE88;Place de la salle des fetes - 86190 - Latille;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.61877,0.07669;Latillé;VIENNE;NOUVELLE-AQUITAINE;;B6287
ALTERBASE86;Parking salle des fetes - 86290 - Thollet;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.42201,1.12241;Thollet;VIENNE;NOUVELLE-AQUITAINE;;B6288
ALTERBASE86;Parking route de Bouresse - 86410 - Verrieres;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.41083,0.59284;Verrières;MARNE;GRAND EST;;B6289
ALTERBASE86;Parking - Rue Nonnet - 86270 - La Roche-Posay;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.78645,0.81115;La Roche-Posay;VIENNE;NOUVELLE-AQUITAINE;;B6290
ALTERBASE86;Rue de la mutualit‚ - 86110 - Mirebeau;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.78656,0.18065;Mirebeau;VIENNE;NOUVELLE-AQUITAINE;;B6291
ALTERBASE86;Grand Rue de Chateauneuf - 86100 - Chatellerault;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.81327,0.53227;Châtellerault;VIENNE;NOUVELLE-AQUITAINE;;B6292
ALTERBASE86;Rue des ecoles - 86580 - Biard;2;18.0;semi-rapide;payant;24/24 7/7 jours;46.57666,0.30572;Biard;VIENNE;NOUVELLE-AQUITAINE;;B6293
Révéo;Rue Du Chanoine Andrieu 11150 BRAM;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.2438889,2.11166667;Bram;AUDE;OCCITANIE;;B6294
Révéo;Rue Des Ecoles 11560 FLEURY;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.2275,3.1347222;Fleury;SOMME;HAUTS-DE-FRANCE;;B6295
Révéo;Place De La Republique 11290 MONTREAL;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.200278,2.141944;Montréal;YONNE;BOURGOGNE-FRANCHE-COMTE;;B6296
Révéo;Allée Raymond Courrière 11000 CARCASSONNE;2;22.0;semi-rapide;payant;24/24 7/7 jours;43.230585,2.353487;Carcassonne;AUDE;OCCITANIE;;B6297
